STUDY.ACCESSION	is_meta_analysis
GCST90002340	TRUE
GCST90002292	TRUE
GCST90002293	TRUE
GCST90002297	TRUE
GCST90002298	TRUE
GCST90002299	TRUE
GCST90002303	TRUE
GCST90002304	TRUE
GCST90002305	TRUE
GCST90002309	TRUE
GCST90002310	TRUE
GCST90002311	TRUE
GCST90002315	TRUE
GCST90002341	TRUE
GCST90002345	TRUE
GCST90002346	TRUE
GCST90002352	TRUE
GCST90002356	TRUE
GCST90002358	TRUE
GCST90002362	TRUE
GCST90002364	TRUE
GCST90002404	TRUE
GCST90002407	TRUE
GCST90002379	TRUE
GCST90002380	TRUE
GCST90002381	TRUE
GCST90002382	TRUE
GCST90002383	TRUE
GCST90002384	TRUE
GCST90002387	TRUE
GCST90002388	TRUE
GCST90002389	TRUE
GCST90002391	TRUE
GCST90002394	TRUE
GCST90002398	TRUE
GCST90002399	TRUE
GCST90002400	TRUE
GCST90002401	TRUE
GCST90002402	TRUE
GCST90002403	TRUE
GCST90007310	TRUE
GCST90007311	TRUE
GCST90007312	TRUE
GCST90007316	TRUE
GCST90007317	TRUE
GCST90007322	TRUE
GCST90007324	TRUE
GCST90007328	TRUE
GCST90007330	TRUE
GCST90012115	FALSE
GCST90012857	FALSE
GCST90002409	TRUE
GCST90012019	TRUE
GCST90012020	TRUE
GCST90012021	TRUE
GCST90012022	TRUE
GCST90012023	TRUE
GCST90012024	TRUE
GCST90012025	TRUE
GCST90012026	TRUE
GCST90012027	TRUE
GCST90012028	TRUE
GCST90012029	TRUE
GCST90012031	TRUE
GCST90012034	TRUE
GCST90012035	TRUE
GCST90012036	TRUE
GCST90012037	TRUE
GCST90012038	TRUE
GCST90012039	TRUE
GCST90012040	TRUE
GCST90012041	TRUE
GCST90012043	TRUE
GCST90011994	TRUE
GCST90011995	TRUE
GCST90011996	TRUE
GCST90011997	TRUE
GCST90011998	TRUE
GCST90011999	TRUE
GCST90012000	TRUE
GCST90012001	TRUE
GCST90012002	TRUE
GCST90012004	TRUE
GCST90012005	TRUE
GCST90012006	TRUE
GCST90012007	TRUE
GCST90012008	TRUE
GCST90012009	TRUE
GCST90012010	TRUE
GCST90012011	TRUE
GCST90012012	TRUE
GCST90012013	TRUE
GCST90012014	TRUE
GCST90012015	TRUE
GCST90012016	TRUE
GCST90012017	TRUE
GCST90012018	TRUE
GCST90012044	TRUE
GCST90012045	TRUE
GCST90012046	TRUE
GCST90012047	TRUE
GCST90012048	TRUE
GCST90012049	TRUE
GCST90012050	TRUE
GCST90012051	TRUE
GCST90012052	TRUE
GCST90012053	TRUE
GCST90012054	TRUE
GCST90012055	TRUE
GCST90012056	TRUE
GCST90012057	TRUE
GCST90012058	TRUE
GCST90012059	TRUE
GCST90012060	TRUE
GCST90012061	TRUE
GCST90012062	TRUE
GCST90012063	TRUE
GCST90012065	TRUE
GCST90012066	TRUE
GCST90012067	TRUE
GCST90012068	TRUE
GCST90012069	TRUE
GCST90012070	TRUE
GCST90012071	TRUE
GCST90012072	TRUE
GCST90012073	TRUE
GCST90012074	TRUE
GCST90012075	TRUE
GCST90012076	TRUE
GCST90012077	TRUE
GCST90012078	TRUE
GCST90012080	TRUE
GCST90012081	TRUE
GCST90012082	TRUE
GCST90012083	TRUE
GCST90013422	FALSE
GCST90000025	FALSE
GCST90000026	FALSE
GCST90000027	FALSE
GCST90000059	TRUE
GCST90000065	TRUE
GCST011888	TRUE
GCST90013414	TRUE
GCST90013534	TRUE
